id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689160630063,TILT_LEFT,-0.09,0.1,1.03
1,1689160630085,TILT_LEFT,-0.09,0.1,1.03
2,1689160630109,TILT_LEFT,-0.12,0.09,0.95
3,1689160630132,TILT_LEFT,-0.11,0.08,0.94
4,1689160630153,TILT_LEFT,-0.11,0.08,0.94
5,1689160630175,TILT_LEFT,-0.14,0.24,0.86
6,1689160630196,TILT_LEFT,-0.14,0.24,0.86
7,1689160630219,TILT_LEFT,-0.1,0.1,0.94
8,1689160630245,TILT_LEFT,-0.1,0.1,0.94
9,1689160630265,TILT_LEFT,-0.13,0.09,0.92
10,1689160630285,TILT_LEFT,-0.07,0.09,0.97
11,1689160630305,TILT_LEFT,-0.07,0.09,0.97
12,1689160630330,TILT_LEFT,-0.07,0.08,0.92
13,1689160630352,TILT_LEFT,-0.04,0.08,0.93
14,1689160630376,TILT_LEFT,-0.04,0.08,0.93
15,1689160630399,TILT_LEFT,0.14,0.07,0.98
16,1689160630420,TILT_LEFT,0.14,0.07,0.98
17,1689160630445,TILT_LEFT,0.09,0.08,0.92
18,1689160630469,TILT_LEFT,0.21,0.13,0.96
19,1689160630489,TILT_LEFT,0.21,0.13,0.96
20,1689160630511,TILT_LEFT,0.21,0.04,0.9
21,1689160630533,TILT_LEFT,0.21,0.04,0.9
22,1689160630556,TILT_LEFT,0.14,0.09,0.87
23,1689160630579,TILT_LEFT,0.17,0.09,0.98
24,1689160630603,TILT_LEFT,0.17,0.09,0.98
25,1689160630626,TILT_LEFT,0.25,0.06,0.91
26,1689160630651,TILT_LEFT,0.19,0.07,0.82
27,1689160630672,TILT_LEFT,0.19,0.07,0.82
28,1689160630695,TILT_LEFT,0.23,0.07,0.86
29,1689160630717,TILT_LEFT,0.23,0.07,0.86
30,1689160630740,TILT_LEFT,0.31,0.02,0.8
31,1689160630765,TILT_LEFT,0.47,0.07,0.71
