id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689087170816,THROW,0.02,0.15,1.1
1,1689087170836,THROW,0.02,0.15,1.1
2,1689087170857,THROW,0.08,0.15,1.02
3,1689087170877,THROW,0.21,-0.07,0.97
4,1689087170897,THROW,0.09,-0.01,1.12
5,1689087170917,THROW,0.09,-0.01,1.12
6,1689087170938,THROW,0.05,0.03,1.09
7,1689087170959,THROW,0.1,-0.04,0.9
8,1689087170979,THROW,0.05,-0.07,1.06
9,1689087170999,THROW,0.05,-0.07,1.06
10,1689087171020,THROW,-0.07,-0.1,1.23
11,1689087171041,THROW,-0.09,-0.28,1.07
12,1689087171061,THROW,-0.09,-0.28,1.07
13,1689087171081,THROW,-0.16,0.14,1.29
14,1689087171102,THROW,-0.02,0.03,1.21
15,1689087171123,THROW,-0.01,-0.2,1.44
16,1689087171144,THROW,-0.01,-0.2,1.44
17,1689087171164,THROW,0.01,-0.05,1.39
18,1689087171184,THROW,-0.3,-0.11,1.5
19,1689087171205,THROW,-0.3,-0.11,1.5
20,1689087171226,THROW,-0.4,-0.01,1.49
21,1689087171246,THROW,-0.4,-0.01,1.49
22,1689087171266,THROW,-0.28,-0.12,1.56
23,1689087171287,THROW,-0.15,-0.33,1.63
24,1689087171307,THROW,-0.15,-0.33,1.63
25,1689087171327,THROW,0.22,-0.51,1.48
26,1689087171347,THROW,0.22,-0.51,1.48
27,1689087171367,THROW,0.48,-0.66,1.28
28,1689087171387,THROW,0.48,-0.66,1.28
29,1689087171407,THROW,0.49,-0.59,1.28
30,1689087171427,THROW,0.49,-0.59,1.28
31,1689087171447,THROW,0.55,-0.75,1.29
32,1689087171467,THROW,0.65,-0.73,0.59
33,1689087171487,THROW,0.65,-0.73,0.59
34,1689087171508,THROW,0.79,-0.6,0.46
35,1689087171529,THROW,0.79,-0.6,0.46
36,1689087171549,THROW,1.27,-0.75,0.02
37,1689087171569,THROW,1.27,-0.75,0.02
38,1689087171589,THROW,1.64,-0.94,-0.26
39,1689087171609,THROW,1.64,-0.94,-0.26
40,1689087171630,THROW,2.35,-1.14,-0.24
41,1689087171650,THROW,2.35,-1.14,-0.24
42,1689087171671,THROW,2.04,-0.58,0.04
43,1689087171692,THROW,1.97,-0.47,0.33
44,1689087171712,THROW,1.97,-0.47,0.33
45,1689087171733,THROW,1.95,-0.57,-0.09
46,1689087171753,THROW,1.95,-0.57,-0.09
47,1689087171774,THROW,2.1,-1.47,-0.36
48,1689087171794,THROW,2.1,-1.47,-0.36
49,1689087171815,THROW,2.32,-2.24,-0.73
50,1689087171835,THROW,2.32,-2.24,-0.73
51,1689087171855,THROW,3.01,-3.41,-1.11
52,1689087171877,THROW,4.09,-6.22,-1.11
53,1689087171897,THROW,4.09,-6.22,-1.11
54,1689087171918,THROW,0.54,-8.0,-2.41
55,1689087171939,THROW,0.54,-8.0,-2.41
56,1689087171959,THROW,-5.98,-6.55,-0.62
57,1689087171980,THROW,-6.51,-8.0,-6.5
58,1689087172001,THROW,-6.51,-8.0,-6.5
59,1689087172021,THROW,-7.95,-1.33,6.03
60,1689087172041,THROW,-7.95,-1.33,6.03
61,1689087172061,THROW,-4.36,2.05,-4.09
62,1689087172081,THROW,-0.09,-0.54,-2.55
63,1689087172101,THROW,-0.09,-0.54,-2.55
64,1689087172121,THROW,-0.73,-0.74,-0.13
65,1689087172142,THROW,-0.73,-0.74,-0.13
66,1689087172163,THROW,-1.02,-0.7,-0.17
67,1689087172183,THROW,-1.02,-0.7,-0.17
68,1689087172204,THROW,-1.74,-0.56,0.74
69,1689087172225,THROW,-1.42,-0.84,0.03
70,1689087172245,THROW,-1.42,-0.84,0.03
71,1689087172266,THROW,-1.69,-0.27,0.39
72,1689087172286,THROW,-1.69,-0.27,0.39
73,1689087172307,THROW,-1.33,-0.44,-0.08
74,1689087172327,THROW,-1.33,-0.44,-0.08
75,1689087172347,THROW,-1.56,-0.32,0.96
76,1689087172368,THROW,-1.56,-0.32,0.96
77,1689087172388,THROW,-1.2,-0.59,0.11
78,1689087172408,THROW,-1.33,0.05,0.93
79,1689087172429,THROW,-1.33,0.05,0.93
80,1689087172449,THROW,-1.16,-0.58,0.54
81,1689087172469,THROW,-1.16,-0.58,0.54
82,1689087172489,THROW,-0.76,-0.42,0.96
83,1689087172509,THROW,-0.93,0.23,0.94
84,1689087172529,THROW,-0.93,0.23,0.94
85,1689087172549,THROW,-0.07,-0.38,0.69
86,1689087172570,THROW,-0.07,-0.38,0.69
87,1689087172590,THROW,-0.31,0.06,1.09
88,1689087172611,THROW,-0.31,0.06,1.09
89,1689087172632,THROW,0.27,-0.09,0.65
90,1689087172653,THROW,0.27,-0.09,0.65
91,1689087172674,THROW,-0.39,-0.48,1.4
92,1689087172695,THROW,0.12,-0.08,0.83
93,1689087172716,THROW,0.12,-0.08,0.83
94,1689087172737,THROW,-0.11,-0.16,1.17
95,1689087172757,THROW,-0.11,-0.16,1.17
96,1689087172777,THROW,0.05,0.09,0.9
97,1689087172798,THROW,0.08,0.02,1.01
98,1689087172818,THROW,0.08,0.02,1.01
99,1689087172839,THROW,0.12,0.17,0.83
100,1689087172860,THROW,0.12,0.17,0.83
101,1689087172880,THROW,0.1,0.15,0.9
