id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689159296783,TILT_RIGHT,-0.02,-0.18,0.99
1,1689159296806,TILT_RIGHT,0.03,-0.17,0.98
2,1689159296831,TILT_RIGHT,0.03,-0.17,0.97
3,1689159296853,TILT_RIGHT,0.03,-0.17,0.97
4,1689159296876,TILT_RIGHT,0.03,-0.21,0.97
5,1689159296900,TILT_RIGHT,0.05,-0.1,0.92
6,1689159296922,TILT_RIGHT,0.05,-0.1,0.92
7,1689159296946,TILT_RIGHT,0.06,-0.13,0.93
8,1689159296967,TILT_RIGHT,0.06,-0.13,0.93
9,1689159296988,TILT_RIGHT,0.05,-0.15,0.95
10,1689159297010,TILT_RIGHT,-0.01,-0.19,0.84
11,1689159297035,TILT_RIGHT,-0.01,-0.19,0.84
12,1689159297059,TILT_RIGHT,0.28,-0.14,0.89
13,1689159297080,TILT_RIGHT,0.28,-0.14,0.89
14,1689159297103,TILT_RIGHT,0.3,-0.19,0.93
15,1689159297123,TILT_RIGHT,0.35,-0.12,0.88
16,1689159297145,TILT_RIGHT,0.35,-0.12,0.88
17,1689159297166,TILT_RIGHT,0.33,-0.05,0.83
18,1689159297188,TILT_RIGHT,0.33,-0.05,0.83
19,1689159297209,TILT_RIGHT,0.48,-0.14,0.9
20,1689159297230,TILT_RIGHT,0.48,-0.14,0.9
21,1689159297254,TILT_RIGHT,0.65,-0.21,0.87
22,1689159297274,TILT_RIGHT,0.65,-0.21,0.87
23,1689159297299,TILT_RIGHT,0.55,-0.06,0.53
24,1689159297323,TILT_RIGHT,0.89,-0.13,0.61
25,1689159297347,TILT_RIGHT,0.89,-0.13,0.61
26,1689159297370,TILT_RIGHT,0.86,-0.13,0.48
27,1689159297393,TILT_RIGHT,0.84,-0.08,0.43
28,1689159297416,TILT_RIGHT,0.84,-0.08,0.43
29,1689159297439,TILT_RIGHT,0.92,-0.03,0.25
30,1689159297463,TILT_RIGHT,0.92,-0.03,0.25
31,1689159297485,TILT_RIGHT,0.92,0.03,0.13
32,1689159297509,TILT_RIGHT,1.09,-0.08,0.03
33,1689159297533,TILT_RIGHT,1.09,-0.08,0.03
34,1689159297557,TILT_RIGHT,1.06,-0.08,-0.08
35,1689159297578,TILT_RIGHT,1.04,-0.09,-0.2
36,1689159297602,TILT_RIGHT,1.04,-0.09,-0.2
37,1689159297625,TILT_RIGHT,0.95,-0.1,-0.28
38,1689159297645,TILT_RIGHT,0.95,-0.1,-0.28
39,1689159297669,TILT_RIGHT,0.92,-0.14,-0.35
40,1689159297692,TILT_RIGHT,0.92,-0.14,-0.35
41,1689159297712,TILT_RIGHT,0.96,-0.11,-0.41
42,1689159297735,TILT_RIGHT,0.96,-0.11,-0.41
43,1689159297758,TILT_RIGHT,0.98,-0.06,-0.43
44,1689159297782,TILT_RIGHT,0.94,-0.04,-0.43
45,1689159297805,TILT_RIGHT,0.94,-0.04,-0.43
46,1689159297830,TILT_RIGHT,0.96,-0.03,-0.43
47,1689159297853,TILT_RIGHT,0.95,-0.06,-0.41
48,1689159297874,TILT_RIGHT,0.95,-0.06,-0.41
49,1689159297898,TILT_RIGHT,0.96,-0.06,-0.41
50,1689159297920,TILT_RIGHT,0.96,-0.06,-0.41
51,1689159297944,TILT_RIGHT,0.95,-0.05,-0.4
52,1689159297966,TILT_RIGHT,0.96,-0.06,-0.35
53,1689159297987,TILT_RIGHT,0.96,-0.06,-0.35
54,1689159298012,TILT_RIGHT,0.99,-0.06,-0.32
55,1689159298033,TILT_RIGHT,0.99,-0.06,-0.32
56,1689159298057,TILT_RIGHT,1.04,-0.02,-0.23
57,1689159298077,TILT_RIGHT,1.05,-0.0,-0.17
58,1689159298101,TILT_RIGHT,1.05,-0.0,-0.17
59,1689159298124,TILT_RIGHT,1.05,0.05,-0.05
60,1689159298147,TILT_RIGHT,1.05,0.05,-0.05
61,1689159298171,TILT_RIGHT,1.0,0.04,0.06
62,1689159298194,TILT_RIGHT,0.94,0.02,0.14
63,1689159298217,TILT_RIGHT,0.94,0.02,0.14
64,1689159298240,TILT_RIGHT,0.95,0.01,0.17
65,1689159298264,TILT_RIGHT,0.95,0.01,0.17
66,1689159298287,TILT_RIGHT,0.99,0.0,0.35
67,1689159298308,TILT_RIGHT,0.97,-0.06,0.41
68,1689159298328,TILT_RIGHT,0.97,-0.06,0.41
69,1689159298351,TILT_RIGHT,0.88,-0.06,0.42
70,1689159298371,TILT_RIGHT,0.88,-0.06,0.42
71,1689159298393,TILT_RIGHT,0.74,-0.01,0.5
72,1689159298414,TILT_RIGHT,0.67,-0.13,0.63
73,1689159298437,TILT_RIGHT,0.67,-0.13,0.63
74,1689159298462,TILT_RIGHT,0.56,-0.15,0.81
75,1689159298487,TILT_RIGHT,0.56,-0.15,0.81
76,1689159298507,TILT_RIGHT,0.56,-0.15,0.78
77,1689159298528,TILT_RIGHT,0.52,-0.16,0.89
78,1689159298553,TILT_RIGHT,0.52,-0.16,0.89
79,1689159298578,TILT_RIGHT,0.49,-0.15,0.82
80,1689159298601,TILT_RIGHT,0.44,-0.16,0.82
81,1689159298623,TILT_RIGHT,0.44,-0.16,0.82
82,1689159298645,TILT_RIGHT,0.37,-0.18,0.84
83,1689159298666,TILT_RIGHT,0.37,-0.18,0.84
84,1689159298688,TILT_RIGHT,0.31,-0.23,1.03
85,1689159298711,TILT_RIGHT,0.31,-0.23,1.03
86,1689159298731,TILT_RIGHT,0.3,-0.17,1.01
87,1689159298752,TILT_RIGHT,0.3,-0.17,1.01
88,1689159298774,TILT_RIGHT,0.24,-0.09,0.82
89,1689159298798,TILT_RIGHT,0.08,-0.13,0.95
90,1689159298819,TILT_RIGHT,0.08,-0.13,0.95
91,1689159298844,TILT_RIGHT,0.07,-0.21,0.94
92,1689159298867,TILT_RIGHT,0.07,-0.21,0.94
93,1689159298892,TILT_RIGHT,0.05,-0.17,0.9
94,1689159298914,TILT_RIGHT,0.03,-0.14,0.93
95,1689159298937,TILT_RIGHT,0.03,-0.14,0.93
96,1689159298957,TILT_RIGHT,0.03,-0.13,0.93
97,1689159298978,TILT_RIGHT,0.03,-0.13,0.93
98,1689159299003,TILT_RIGHT,-0.02,-0.16,0.97
99,1689159299026,TILT_RIGHT,-0.01,-0.16,0.96
100,1689159299047,TILT_RIGHT,-0.01,-0.16,0.96
101,1689159299070,TILT_RIGHT,-0.08,-0.16,1.03
102,1689159299094,TILT_RIGHT,0.1,-0.1,0.84
103,1689159299114,TILT_RIGHT,0.1,-0.1,0.84
104,1689159299135,TILT_RIGHT,0.03,-0.15,0.96
105,1689159299157,TILT_RIGHT,0.03,-0.15,0.96
106,1689159299179,TILT_RIGHT,0.12,-0.12,0.93
107,1689159299201,TILT_RIGHT,0.01,-0.13,1.0
108,1689159299221,TILT_RIGHT,0.01,-0.13,1.0
109,1689159299243,TILT_RIGHT,0.08,-0.18,0.86
110,1689159299267,TILT_RIGHT,0.06,-0.12,0.87
111,1689159299291,TILT_RIGHT,0.06,-0.12,0.87
112,1689159299314,TILT_RIGHT,-0.04,-0.24,1.04
113,1689159299338,TILT_RIGHT,-0.02,-0.19,0.99
114,1689159299360,TILT_RIGHT,-0.02,-0.19,0.99
