id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689160130546,TILT_RIGHT,-0.01,0.01,0.97
1,1689160130566,TILT_RIGHT,-0.04,0.01,0.97
2,1689160130588,TILT_RIGHT,-0.04,0.01,0.97
3,1689160130609,TILT_RIGHT,-0.05,0.05,0.98
4,1689160130630,TILT_RIGHT,-0.07,0.04,1.01
5,1689160130652,TILT_RIGHT,-0.07,0.04,1.01
6,1689160130673,TILT_RIGHT,-0.03,0.06,0.95
7,1689160130697,TILT_RIGHT,-0.03,0.06,0.95
8,1689160130722,TILT_RIGHT,-0.06,0.11,0.9
9,1689160130743,TILT_RIGHT,-0.02,0.12,0.95
10,1689160130768,TILT_RIGHT,-0.02,0.12,0.95
11,1689160130790,TILT_RIGHT,-0.1,0.11,1.0
12,1689160130813,TILT_RIGHT,-0.1,0.11,1.0
13,1689160130836,TILT_RIGHT,0.02,0.09,1.06
14,1689160130861,TILT_RIGHT,-0.04,0.14,0.86
15,1689160130882,TILT_RIGHT,-0.04,0.14,0.86
16,1689160130906,TILT_RIGHT,0.02,0.15,0.87
17,1689160130929,TILT_RIGHT,0.05,0.11,0.93
18,1689160130952,TILT_RIGHT,0.05,0.11,0.93
19,1689160130977,TILT_RIGHT,0.04,0.11,0.94
20,1689160131000,TILT_RIGHT,0.06,0.09,1.01
21,1689160131022,TILT_RIGHT,0.06,0.09,1.01
22,1689160131045,TILT_RIGHT,0.06,0.1,0.99
23,1689160131068,TILT_RIGHT,0.14,0.1,0.91
24,1689160131092,TILT_RIGHT,0.14,0.1,0.91
25,1689160131115,TILT_RIGHT,0.23,0.09,0.91
26,1689160131138,TILT_RIGHT,0.23,0.09,0.91
27,1689160131161,TILT_RIGHT,0.19,0.12,0.87
28,1689160131184,TILT_RIGHT,0.26,0.07,0.96
29,1689160131208,TILT_RIGHT,0.26,0.07,0.96
30,1689160131231,TILT_RIGHT,0.34,0.12,0.9
31,1689160131254,TILT_RIGHT,0.31,0.13,0.93
32,1689160131277,TILT_RIGHT,0.31,0.13,0.93
33,1689160131301,TILT_RIGHT,0.42,0.11,0.92
34,1689160131326,TILT_RIGHT,0.42,0.11,0.92
35,1689160131347,TILT_RIGHT,0.51,0.17,0.8
36,1689160131368,TILT_RIGHT,0.51,0.17,0.8
37,1689160131389,TILT_RIGHT,0.6,0.07,0.82
38,1689160131411,TILT_RIGHT,0.69,0.12,0.68
39,1689160131436,TILT_RIGHT,0.69,0.12,0.68
40,1689160131461,TILT_RIGHT,0.71,0.25,0.58
41,1689160131486,TILT_RIGHT,0.92,0.2,0.38
42,1689160131511,TILT_RIGHT,0.92,0.2,0.38
43,1689160131536,TILT_RIGHT,0.88,0.18,0.23
44,1689160131561,TILT_RIGHT,0.97,0.16,0.08
45,1689160131585,TILT_RIGHT,0.97,0.16,0.08
46,1689160131608,TILT_RIGHT,0.99,0.21,0.09
47,1689160131633,TILT_RIGHT,0.99,0.21,0.09
48,1689160131654,TILT_RIGHT,0.99,0.23,-0.0
49,1689160131678,TILT_RIGHT,1.05,0.23,-0.06
50,1689160131701,TILT_RIGHT,1.05,0.23,-0.06
51,1689160131724,TILT_RIGHT,1.03,0.22,-0.26
52,1689160131747,TILT_RIGHT,1.03,0.22,-0.26
53,1689160131772,TILT_RIGHT,1.03,0.24,-0.34
54,1689160131794,TILT_RIGHT,0.96,0.18,-0.34
55,1689160131817,TILT_RIGHT,0.96,0.18,-0.34
56,1689160131840,TILT_RIGHT,0.98,0.21,-0.4
57,1689160131864,TILT_RIGHT,0.98,0.21,-0.4
58,1689160131887,TILT_RIGHT,0.94,0.23,-0.38
59,1689160131910,TILT_RIGHT,0.95,0.25,-0.32
60,1689160131933,TILT_RIGHT,0.95,0.25,-0.32
61,1689160131956,TILT_RIGHT,0.97,0.21,-0.41
62,1689160131979,TILT_RIGHT,0.97,0.21,-0.37
63,1689160132001,TILT_RIGHT,0.97,0.21,-0.37
64,1689160132022,TILT_RIGHT,0.97,0.22,-0.33
65,1689160132045,TILT_RIGHT,0.97,0.22,-0.33
66,1689160132065,TILT_RIGHT,1.0,0.22,-0.34
67,1689160132090,TILT_RIGHT,1.0,0.22,-0.34
68,1689160132114,TILT_RIGHT,0.98,0.19,-0.3
69,1689160132136,TILT_RIGHT,0.96,0.23,-0.14
70,1689160132159,TILT_RIGHT,0.96,0.23,-0.14
71,1689160132183,TILT_RIGHT,0.98,0.2,-0.07
72,1689160132206,TILT_RIGHT,0.98,0.2,-0.07
73,1689160132230,TILT_RIGHT,1.01,0.15,-0.05
74,1689160132252,TILT_RIGHT,0.96,0.18,0.14
75,1689160132276,TILT_RIGHT,0.96,0.18,0.14
76,1689160132298,TILT_RIGHT,0.95,0.13,0.24
77,1689160132323,TILT_RIGHT,0.83,0.16,0.39
78,1689160132345,TILT_RIGHT,0.83,0.16,0.39
79,1689160132366,TILT_RIGHT,0.79,0.09,0.59
80,1689160132386,TILT_RIGHT,0.57,0.18,0.79
81,1689160132411,TILT_RIGHT,0.57,0.18,0.79
82,1689160132433,TILT_RIGHT,0.59,0.14,0.78
83,1689160132456,TILT_RIGHT,0.59,0.14,0.78
84,1689160132477,TILT_RIGHT,0.45,0.17,0.83
85,1689160132498,TILT_RIGHT,0.45,0.17,0.83
86,1689160132520,TILT_RIGHT,0.37,0.18,0.9
87,1689160132542,TILT_RIGHT,0.31,0.14,0.89
