id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689161745344,THROW,1.75,1.57,-1.77
1,1689161745367,THROW,1.02,1.28,-0.95
2,1689161745390,THROW,0.31,0.94,-0.27
3,1689161745412,THROW,-0.1,0.63,0.18
4,1689161745436,THROW,-0.1,0.63,0.18
5,1689161745459,THROW,-0.36,1.22,0.44
6,1689161745482,THROW,-0.36,1.22,0.44
7,1689161745506,THROW,-0.85,1.24,0.78
8,1689161745529,THROW,-0.85,1.24,0.78
9,1689161745552,THROW,-1.13,1.15,0.5
10,1689161745575,THROW,-1.78,1.0,0.87
11,1689161745597,THROW,-1.78,1.0,0.87
12,1689161745621,THROW,-2.05,0.02,1.62
13,1689161745645,THROW,-0.48,0.45,0.71
14,1689161745667,THROW,-0.48,0.45,0.71
15,1689161745692,THROW,-0.52,0.15,0.63
16,1689161745717,THROW,-1.04,0.24,0.87
17,1689161745737,THROW,-1.04,0.24,0.87
18,1689161745760,THROW,-1.07,0.09,0.99
19,1689161745784,THROW,-1.07,0.09,0.99
20,1689161745806,THROW,-0.95,0.02,0.83
21,1689161745830,THROW,-0.99,0.03,0.97
22,1689161745854,THROW,-0.99,0.03,0.97
23,1689161745877,THROW,-1.04,0.0,0.96
24,1689161745900,THROW,-0.81,0.0,0.77
25,1689161745920,THROW,-0.81,0.0,0.77
26,1689161745943,THROW,-0.7,0.03,0.85
27,1689161745964,THROW,-0.7,0.03,0.85
28,1689161745988,THROW,-0.74,0.0,0.83
29,1689161746011,THROW,-0.74,0.0,0.83
30,1689161746031,THROW,-0.68,-0.01,0.67
31,1689161746056,THROW,-0.67,-0.0,0.79
32,1689161746079,THROW,-0.67,-0.0,0.79
33,1689161746102,THROW,-0.56,-0.04,0.63
34,1689161746125,THROW,-0.56,-0.06,0.69
35,1689161746146,THROW,-0.56,-0.06,0.69
36,1689161746167,THROW,-0.65,-0.03,0.75
37,1689161746191,THROW,-0.65,-0.03,0.75
38,1689161746214,THROW,-0.55,-0.08,0.6
39,1689161746236,THROW,-0.54,-0.03,0.72
40,1689161746260,THROW,-0.54,-0.03,0.72
41,1689161746283,THROW,-0.58,-0.06,0.79
42,1689161746307,THROW,-0.58,-0.06,0.79
43,1689161746330,THROW,-0.61,-0.06,0.75
