id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689079178565,TILT_RIGHT,0.11,-0.13,0.99
1,1689079178589,TILT_RIGHT,0.03,-0.09,1.05
2,1689079178612,TILT_RIGHT,-0.01,-0.09,0.97
3,1689079178634,TILT_RIGHT,-0.01,-0.09,0.97
4,1689079178658,TILT_RIGHT,-0.01,-0.09,1.04
5,1689079178682,TILT_RIGHT,-0.01,-0.09,1.04
6,1689079178705,TILT_RIGHT,-0.09,-0.09,0.98
7,1689079178728,TILT_RIGHT,-0.09,-0.09,0.98
8,1689079178751,TILT_RIGHT,-0.17,-0.06,0.91
9,1689079178774,TILT_RIGHT,-0.22,-0.04,0.86
10,1689079178799,TILT_RIGHT,-0.31,-0.0,0.94
11,1689079178823,TILT_RIGHT,-0.31,-0.0,0.94
12,1689079178847,TILT_RIGHT,-0.33,-0.03,0.89
13,1689079178872,TILT_RIGHT,-0.37,-0.03,0.89
14,1689079178897,TILT_RIGHT,-0.37,-0.03,0.89
15,1689079178922,TILT_RIGHT,-0.38,-0.07,0.86
16,1689079178946,TILT_RIGHT,-0.49,-0.1,0.82
17,1689079178968,TILT_RIGHT,-0.49,-0.1,0.82
18,1689079178992,TILT_RIGHT,-0.51,-0.05,0.81
19,1689079179016,TILT_RIGHT,-0.62,-0.05,0.64
20,1689079179038,TILT_RIGHT,-0.62,-0.05,0.64
21,1689079179058,TILT_RIGHT,-0.86,0.04,0.48
22,1689079179082,TILT_RIGHT,-0.86,0.04,0.48
23,1689079179104,TILT_RIGHT,-0.8,-0.04,0.57
24,1689079179127,TILT_RIGHT,-0.8,-0.04,0.57
25,1689079179151,TILT_RIGHT,-0.9,-0.01,0.37
26,1689079179173,TILT_RIGHT,-0.87,-0.05,0.5
27,1689079179198,TILT_RIGHT,-0.87,-0.05,0.5
28,1689079179222,TILT_RIGHT,-0.91,-0.0,0.26
29,1689079179247,TILT_RIGHT,-1.06,-0.04,0.28
30,1689079179272,TILT_RIGHT,-1.06,-0.04,0.28
31,1689079179297,TILT_RIGHT,-0.96,-0.02,0.27
32,1689079179320,TILT_RIGHT,-0.96,-0.02,0.27
33,1689079179341,TILT_RIGHT,-1.01,-0.09,0.34
34,1689079179361,TILT_RIGHT,-0.95,-0.05,0.39
35,1689079179383,TILT_RIGHT,-0.95,-0.05,0.39
36,1689079179406,TILT_RIGHT,-0.95,-0.05,0.37
37,1689079179426,TILT_RIGHT,-0.95,-0.05,0.37
38,1689079179450,TILT_RIGHT,-0.94,-0.06,0.4
39,1689079179474,TILT_RIGHT,-0.94,-0.06,0.4
40,1689079179499,TILT_RIGHT,-0.93,-0.09,0.4
41,1689079179523,TILT_RIGHT,-0.89,-0.07,0.37
42,1689079179546,TILT_RIGHT,-0.89,-0.07,0.37
43,1689079179570,TILT_RIGHT,-0.94,-0.06,0.37
44,1689079179593,TILT_RIGHT,-0.91,-0.06,0.38
45,1689079179616,TILT_RIGHT,-0.91,-0.06,0.38
46,1689079179638,TILT_RIGHT,-0.95,-0.07,0.34
47,1689079179663,TILT_RIGHT,-0.95,-0.05,0.41
48,1689079179686,TILT_RIGHT,-0.95,-0.05,0.41
49,1689079179708,TILT_RIGHT,-0.93,-0.1,0.37
50,1689079179732,TILT_RIGHT,-0.93,-0.1,0.37
51,1689079179755,TILT_RIGHT,-0.98,-0.07,0.28
52,1689079179779,TILT_RIGHT,-0.89,-0.07,0.38
53,1689079179801,TILT_RIGHT,-0.89,-0.07,0.38
54,1689079179825,TILT_RIGHT,-0.9,-0.11,0.36
55,1689079179849,TILT_RIGHT,-0.9,-0.11,0.36
56,1689079179874,TILT_RIGHT,-0.53,-0.04,0.8
57,1689079179894,TILT_RIGHT,-0.77,-0.1,0.65
58,1689079179914,TILT_RIGHT,-0.77,-0.1,0.65
59,1689079179935,TILT_RIGHT,-0.74,-0.13,0.55
60,1689079179960,TILT_RIGHT,-0.74,-0.13,0.55
61,1689079179984,TILT_RIGHT,-0.49,-0.12,0.87
62,1689079180006,TILT_RIGHT,-0.6,-0.21,0.77
63,1689079180028,TILT_RIGHT,-0.6,-0.21,0.77
64,1689079180052,TILT_RIGHT,-0.49,-0.09,0.62
65,1689079180075,TILT_RIGHT,-0.49,-0.09,0.62
66,1689079180099,TILT_RIGHT,-0.35,-0.11,0.99
67,1689079180124,TILT_RIGHT,-0.18,-0.13,0.97
68,1689079180146,TILT_RIGHT,-0.18,-0.13,0.97
69,1689079180167,TILT_RIGHT,-0.18,-0.13,0.97
70,1689079180191,TILT_RIGHT,-0.25,-0.05,0.85
71,1689079180216,TILT_RIGHT,-0.05,-0.17,0.87
72,1689079180237,TILT_RIGHT,-0.05,-0.17,1.12
73,1689079180260,TILT_RIGHT,-0.05,-0.17,1.12
