id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689085468142,TILT_LEFT,0.07,0.08,0.95
1,1689085468163,TILT_LEFT,-0.0,0.01,1.0
2,1689085468184,TILT_LEFT,0.09,0.04,1.02
3,1689085468205,TILT_LEFT,0.09,0.04,1.02
4,1689085468225,TILT_LEFT,0.0,0.02,1.0
5,1689085468245,TILT_LEFT,0.0,0.02,1.0
6,1689085468265,TILT_LEFT,0.03,-0.06,1.08
7,1689085468285,TILT_LEFT,0.02,-0.0,1.01
8,1689085468305,TILT_LEFT,0.02,-0.0,1.01
9,1689085468326,TILT_LEFT,0.06,0.05,0.88
10,1689085468346,TILT_LEFT,0.06,0.05,0.88
11,1689085468366,TILT_LEFT,0.07,0.03,0.94
12,1689085468387,TILT_LEFT,0.14,0.06,0.84
13,1689085468408,TILT_LEFT,0.14,0.06,0.84
14,1689085468428,TILT_LEFT,0.25,0.02,0.93
15,1689085468449,TILT_LEFT,0.25,0.02,0.93
16,1689085468469,TILT_LEFT,0.28,-0.01,0.88
17,1689085468489,TILT_LEFT,0.28,-0.01,0.88
18,1689085468509,TILT_LEFT,0.59,0.06,0.81
19,1689085468529,TILT_LEFT,0.63,0.05,0.93
20,1689085468550,TILT_LEFT,0.63,0.05,0.93
21,1689085468571,TILT_LEFT,0.63,-0.01,0.69
22,1689085468591,TILT_LEFT,0.63,-0.01,0.69
23,1689085468611,TILT_LEFT,0.89,0.11,0.61
24,1689085468631,TILT_LEFT,0.86,0.03,0.59
25,1689085468651,TILT_LEFT,0.86,0.03,0.59
26,1689085468672,TILT_LEFT,0.77,-0.02,0.28
27,1689085468693,TILT_LEFT,1.08,0.1,0.35
28,1689085468713,TILT_LEFT,1.08,0.1,0.35
29,1689085468734,TILT_LEFT,1.04,0.06,0.2
30,1689085468754,TILT_LEFT,1.04,0.06,0.2
31,1689085468775,TILT_LEFT,0.94,-0.01,0.02
32,1689085468795,TILT_LEFT,1.33,0.17,0.19
33,1689085468816,TILT_LEFT,1.33,0.17,0.19
34,1689085468836,TILT_LEFT,1.11,0.03,-0.22
35,1689085468856,TILT_LEFT,1.11,0.03,-0.22
36,1689085468876,TILT_LEFT,0.91,-0.02,-0.08
37,1689085468896,TILT_LEFT,1.11,0.12,-0.14
38,1689085468916,TILT_LEFT,1.11,0.12,-0.14
39,1689085468936,TILT_LEFT,1.02,0.04,-0.26
40,1689085468956,TILT_LEFT,1.02,0.04,-0.26
41,1689085468976,TILT_LEFT,0.92,0.01,-0.23
42,1689085468997,TILT_LEFT,0.92,0.01,-0.23
43,1689085469017,TILT_LEFT,0.97,0.04,-0.28
44,1689085469038,TILT_LEFT,1.0,0.07,-0.31
45,1689085469059,TILT_LEFT,1.0,0.07,-0.31
46,1689085469079,TILT_LEFT,0.95,0.02,-0.32
47,1689085469099,TILT_LEFT,0.95,0.02,-0.32
48,1689085469120,TILT_LEFT,0.99,0.03,-0.32
49,1689085469140,TILT_LEFT,1.03,0.06,-0.24
50,1689085469160,TILT_LEFT,1.03,0.06,-0.24
51,1689085469180,TILT_LEFT,1.0,0.04,-0.26
52,1689085469200,TILT_LEFT,1.0,0.04,-0.26
53,1689085469221,TILT_LEFT,1.0,0.04,-0.29
54,1689085469241,TILT_LEFT,0.99,0.03,-0.25
55,1689085469261,TILT_LEFT,0.99,0.03,-0.25
56,1689085469281,TILT_LEFT,0.99,0.02,-0.22
57,1689085469301,TILT_LEFT,0.99,0.02,-0.22
58,1689085469321,TILT_LEFT,1.06,0.07,-0.18
59,1689085469341,TILT_LEFT,1.06,0.07,-0.18
60,1689085469361,TILT_LEFT,1.02,0.07,0.06
61,1689085469381,TILT_LEFT,0.92,0.03,-0.02
62,1689085469401,TILT_LEFT,0.92,0.03,-0.02
63,1689085469421,TILT_LEFT,1.08,0.06,0.17
64,1689085469442,TILT_LEFT,1.08,0.06,0.17
65,1689085469462,TILT_LEFT,1.08,0.04,0.48
66,1689085469482,TILT_LEFT,1.08,0.04,0.48
67,1689085469502,TILT_LEFT,0.97,-0.07,0.55
68,1689085469522,TILT_LEFT,0.97,-0.07,0.55
69,1689085469542,TILT_LEFT,0.79,-0.08,0.7
70,1689085469563,TILT_LEFT,0.79,-0.08,0.7
71,1689085469583,TILT_LEFT,0.64,-0.11,0.93
72,1689085469604,TILT_LEFT,0.5,-0.06,0.66
73,1689085469624,TILT_LEFT,0.5,-0.06,0.66
74,1689085469644,TILT_LEFT,0.27,-0.06,0.96
75,1689085469664,TILT_LEFT,0.27,-0.06,0.96
76,1689085469685,TILT_LEFT,0.15,-0.06,1.01
77,1689085469705,TILT_LEFT,0.15,-0.06,1.01
78,1689085469725,TILT_LEFT,0.06,-0.0,0.81
79,1689085469745,TILT_LEFT,0.06,-0.0,0.81
80,1689085469765,TILT_LEFT,-0.13,-0.12,1.05
81,1689085469785,TILT_LEFT,-0.13,-0.12,1.05
82,1689085469806,TILT_LEFT,-0.04,0.01,0.94
83,1689085469826,TILT_LEFT,-0.18,-0.08,0.99
84,1689085469846,TILT_LEFT,-0.18,-0.08,0.99
85,1689085469866,TILT_LEFT,-0.17,-0.02,1.02
86,1689085469886,TILT_LEFT,-0.17,-0.02,1.02
87,1689085469906,TILT_LEFT,-0.11,0.02,0.91
