id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689087390630,THROW,0.1,0.21,0.95
1,1689087390651,THROW,0.1,0.21,0.95
2,1689087390671,THROW,0.12,0.12,0.94
3,1689087390692,THROW,0.12,0.12,0.94
4,1689087390712,THROW,-0.03,0.17,1.06
5,1689087390732,THROW,-0.03,0.17,1.06
6,1689087390753,THROW,-0.17,0.21,1.2
7,1689087390774,THROW,-0.13,0.09,1.1
8,1689087390795,THROW,0.03,-0.02,1.02
9,1689087390815,THROW,0.03,-0.02,1.02
10,1689087390836,THROW,0.11,0.13,0.88
11,1689087390857,THROW,0.24,0.11,0.85
12,1689087390877,THROW,0.33,-0.02,0.91
13,1689087390898,THROW,0.33,-0.02,0.91
14,1689087390918,THROW,0.4,-0.04,0.87
15,1689087390939,THROW,0.4,-0.04,0.87
16,1689087390959,THROW,-0.17,-0.77,1.22
17,1689087390979,THROW,0.16,-0.04,0.92
18,1689087390999,THROW,0.11,0.04,0.87
19,1689087391019,THROW,0.11,0.04,0.87
20,1689087391040,THROW,-0.25,0.09,1.1
21,1689087391060,THROW,-0.47,0.11,1.27
22,1689087391080,THROW,-0.11,0.61,0.81
23,1689087391100,THROW,-0.34,-0.03,1.01
24,1689087391121,THROW,-0.34,-0.03,1.01
25,1689087391141,THROW,-0.65,0.15,1.41
26,1689087391161,THROW,-0.57,0.02,1.74
27,1689087391181,THROW,-0.57,0.02,1.74
28,1689087391201,THROW,-0.13,0.03,1.51
29,1689087391222,THROW,0.21,-0.23,1.52
30,1689087391242,THROW,0.21,-0.23,1.52
31,1689087391263,THROW,0.75,-0.26,1.71
32,1689087391283,THROW,0.75,-0.26,1.71
33,1689087391304,THROW,1.03,-0.37,1.13
34,1689087391325,THROW,0.05,-0.1,1.23
35,1689087391345,THROW,-0.73,0.38,1.12
36,1689087391365,THROW,-0.73,0.38,1.12
37,1689087391385,THROW,-1.13,0.57,1.13
38,1689087391406,THROW,-1.37,0.77,0.98
39,1689087391427,THROW,-1.33,0.9,0.59
40,1689087391447,THROW,-1.33,0.9,0.59
41,1689087391467,THROW,-1.17,0.84,0.42
42,1689087391487,THROW,-1.17,0.84,0.42
43,1689087391508,THROW,-1.32,0.82,0.32
44,1689087391528,THROW,-1.08,0.57,0.26
45,1689087391548,THROW,-0.98,0.25,0.33
46,1689087391568,THROW,-0.98,0.25,0.33
47,1689087391588,THROW,-0.65,-0.35,-0.03
48,1689087391609,THROW,-0.65,-0.35,-0.03
49,1689087391629,THROW,-0.27,-0.65,-0.29
50,1689087391650,THROW,-0.27,-0.65,-0.29
51,1689087391670,THROW,-0.05,-1.04,-0.56
52,1689087391690,THROW,1.04,-2.33,-0.99
53,1689087391710,THROW,1.04,-2.33,-0.99
54,1689087391730,THROW,3.03,-3.66,-1.31
55,1689087391751,THROW,3.03,-3.66,-1.31
56,1689087391771,THROW,5.13,-5.05,-2.04
57,1689087391791,THROW,5.13,-5.05,-2.04
58,1689087391812,THROW,4.57,-6.67,-1.42
59,1689087391832,THROW,4.57,-6.67,-1.42
60,1689087391853,THROW,1.13,-8.0,0.0
61,1689087391874,THROW,-4.89,-7.47,-0.82
62,1689087391894,THROW,-4.89,-7.47,-0.82
63,1689087391915,THROW,-8.0,-8.0,-3.73
64,1689087391935,THROW,-8.0,-8.0,-3.73
65,1689087391955,THROW,-7.14,1.05,-2.42
66,1689087391976,THROW,-7.14,1.05,-2.42
67,1689087391996,THROW,-2.52,0.03,-3.8
68,1689087392017,THROW,-2.52,0.03,-3.8
69,1689087392037,THROW,2.13,-1.27,-2.51
70,1689087392057,THROW,2.13,-1.27,-2.51
71,1689087392077,THROW,-1.77,-0.33,-0.19
72,1689087392097,THROW,-3.0,0.24,0.94
73,1689087392118,THROW,-3.0,0.24,0.94
74,1689087392138,THROW,-0.95,-0.37,-0.32
75,1689087392158,THROW,-0.95,-0.37,-0.32
76,1689087392178,THROW,-1.1,-0.01,-0.17
77,1689087392199,THROW,-1.1,-0.01,-0.17
78,1689087392219,THROW,-1.27,-0.07,0.09
79,1689087392239,THROW,-1.27,-0.07,0.09
80,1689087392259,THROW,-1.15,-0.07,0.41
81,1689087392280,THROW,-1.15,-0.07,0.41
82,1689087392300,THROW,-1.13,-0.39,0.64
83,1689087392320,THROW,-0.98,-0.55,0.99
84,1689087392340,THROW,-0.98,-0.55,0.99
85,1689087392361,THROW,-0.6,-0.46,0.67
86,1689087392381,THROW,-0.6,-0.46,0.67
87,1689087392401,THROW,-0.54,-0.22,0.58
88,1689087392421,THROW,-0.79,0.12,0.9
89,1689087392442,THROW,-0.79,0.12,0.9
90,1689087392462,THROW,-0.36,0.17,0.3
91,1689087392482,THROW,-0.36,0.17,0.3
92,1689087392502,THROW,-0.52,0.43,0.5
93,1689087392523,THROW,-0.33,0.45,0.66
94,1689087392543,THROW,-0.33,0.45,0.66
95,1689087392563,THROW,0.15,0.09,0.56
96,1689087392584,THROW,0.15,0.09,0.56
97,1689087392605,THROW,0.02,0.87,0.9
98,1689087392625,THROW,0.02,0.87,0.9
99,1689087392645,THROW,0.15,-0.47,1.11
100,1689087392666,THROW,0.15,-0.47,1.11
101,1689087392687,THROW,0.24,0.04,0.66
102,1689087392708,THROW,0.04,0.29,1.42
103,1689087392729,THROW,0.04,0.29,1.42
104,1689087392750,THROW,0.41,-0.09,1.2
105,1689087392771,THROW,0.41,-0.09,1.2
106,1689087392792,THROW,0.49,-0.14,1.16
107,1689087392813,THROW,0.49,-0.14,1.16
108,1689087392834,THROW,0.26,0.08,1.36
109,1689087392855,THROW,0.28,-0.08,1.15
110,1689087392875,THROW,0.28,-0.08,1.15
111,1689087392896,THROW,-0.06,0.48,1.19
112,1689087392917,THROW,-0.06,0.48,1.19
113,1689087392937,THROW,0.06,0.11,1.06
114,1689087392958,THROW,0.07,0.24,1.02
115,1689087392979,THROW,0.07,0.24,1.02
116,1689087393000,THROW,-0.09,0.46,1.07
117,1689087393020,THROW,-0.09,0.46,1.07
118,1689087393040,THROW,0.07,0.07,0.92
119,1689087393060,THROW,0.07,0.07,0.92
120,1689087393080,THROW,0.07,0.18,1.0
121,1689087393100,THROW,0.07,0.18,1.0
122,1689087393120,THROW,-0.04,0.21,1.06
