id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689087461020,THROW,0.19,0.18,1.0
1,1689087461040,THROW,0.04,0.31,1.02
2,1689087461060,THROW,0.14,0.07,1.01
3,1689087461080,THROW,0.36,-0.18,1.05
4,1689087461101,THROW,0.06,0.04,1.04
5,1689087461122,THROW,0.06,0.04,1.04
6,1689087461142,THROW,0.07,-0.03,1.02
7,1689087461162,THROW,-0.02,-0.09,0.78
8,1689087461182,THROW,0.0,-0.18,0.8
9,1689087461202,THROW,0.0,-0.18,0.8
10,1689087461223,THROW,-0.11,-0.19,0.79
11,1689087461244,THROW,-0.18,-0.11,0.78
12,1689087461264,THROW,-0.31,0.01,0.84
13,1689087461285,THROW,-0.31,0.01,0.84
14,1689087461305,THROW,-0.64,0.15,1.39
15,1689087461325,THROW,-0.86,-0.03,1.53
16,1689087461345,THROW,-0.86,-0.03,1.53
17,1689087461365,THROW,0.04,-0.75,0.98
18,1689087461386,THROW,1.26,-1.08,0.48
19,1689087461407,THROW,1.85,-0.82,0.52
20,1689087461427,THROW,1.85,-0.82,0.52
21,1689087461448,THROW,0.95,-0.32,0.86
22,1689087461468,THROW,-0.45,0.3,1.46
23,1689087461489,THROW,-0.45,0.3,1.46
24,1689087461509,THROW,-1.27,-0.15,2.51
25,1689087461529,THROW,-1.27,-0.15,2.51
26,1689087461549,THROW,-1.31,-0.57,2.9
27,1689087461569,THROW,-0.54,-0.58,2.26
28,1689087461589,THROW,-0.54,-0.58,2.26
29,1689087461609,THROW,-0.37,-0.45,2.32
30,1689087461629,THROW,-0.37,-0.45,2.32
31,1689087461650,THROW,-0.38,-0.4,1.97
32,1689087461670,THROW,-0.38,-0.4,1.97
33,1689087461690,THROW,-0.54,-0.19,1.6
34,1689087461710,THROW,-0.75,-0.6,1.5
35,1689087461731,THROW,-0.75,-0.6,1.5
36,1689087461751,THROW,-0.66,-0.52,0.72
37,1689087461772,THROW,-0.84,-0.85,0.46
38,1689087461792,THROW,-0.84,-0.85,0.46
39,1689087461812,THROW,-0.52,-1.58,-0.33
40,1689087461833,THROW,-0.52,-1.58,-0.33
41,1689087461853,THROW,0.18,-2.24,-0.78
42,1689087461874,THROW,0.18,-2.24,-0.78
43,1689087461894,THROW,1.34,-3.55,-0.74
44,1689087461915,THROW,2.67,-5.04,-0.3
45,1689087461936,THROW,2.67,-5.04,-0.3
46,1689087461956,THROW,2.41,-5.21,-0.08
47,1689087461976,THROW,2.41,-5.21,-0.08
48,1689087461996,THROW,1.58,-5.21,0.23
49,1689087462016,THROW,-1.16,-6.38,0.37
50,1689087462037,THROW,-1.16,-6.38,0.37
51,1689087462057,THROW,-5.53,-6.11,1.22
52,1689087462078,THROW,-5.53,-6.11,1.22
53,1689087462099,THROW,-5.41,-2.57,2.84
54,1689087462119,THROW,-2.28,-6.5,-4.59
55,1689087462139,THROW,-2.28,-6.5,-4.59
56,1689087462159,THROW,-6.88,-0.98,4.21
57,1689087462179,THROW,-6.88,-0.98,4.21
58,1689087462200,THROW,-3.96,0.49,-1.72
59,1689087462221,THROW,-3.68,0.45,0.1
60,1689087462241,THROW,-3.68,0.45,0.1
61,1689087462261,THROW,-2.26,-1.02,-0.21
62,1689087462282,THROW,-2.26,-1.02,-0.21
63,1689087462302,THROW,-1.82,-0.23,-0.79
64,1689087462322,THROW,-1.82,-0.23,-0.79
65,1689087462343,THROW,-1.39,-0.36,-0.58
66,1689087462363,THROW,-1.39,-0.36,-0.58
67,1689087462384,THROW,-1.59,-0.29,0.72
68,1689087462405,THROW,-1.01,-0.13,0.57
69,1689087462425,THROW,-1.01,-0.13,0.57
70,1689087462445,THROW,-0.71,-0.38,0.99
71,1689087462465,THROW,-0.71,-0.38,0.99
72,1689087462486,THROW,-0.61,-0.26,1.17
73,1689087462506,THROW,-0.61,-0.26,1.17
74,1689087462527,THROW,-0.34,-0.22,0.82
75,1689087462547,THROW,-0.34,-0.22,0.82
76,1689087462567,THROW,-0.19,-0.28,1.14
77,1689087462587,THROW,-0.19,-0.28,1.14
78,1689087462608,THROW,0.07,-0.15,0.89
79,1689087462628,THROW,0.18,-0.18,0.85
80,1689087462648,THROW,0.18,-0.18,0.85
81,1689087462669,THROW,-0.0,-0.29,1.36
82,1689087462689,THROW,0.13,-0.22,1.1
83,1689087462709,THROW,0.13,-0.22,1.1
84,1689087462729,THROW,0.28,-0.16,0.69
85,1689087462750,THROW,0.28,-0.16,0.69
86,1689087462770,THROW,0.2,-0.09,0.99
87,1689087462791,THROW,0.2,-0.09,0.99
