id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689077293649,TILT_RIGHT,0.21,-0.21,1.0
1,1689077293672,TILT_RIGHT,0.21,-0.21,1.0
2,1689077293694,TILT_RIGHT,0.16,-0.2,0.98
3,1689077293717,TILT_RIGHT,0.16,-0.2,0.98
4,1689077293742,TILT_RIGHT,0.12,-0.2,0.96
5,1689077293765,TILT_RIGHT,0.1,-0.11,0.79
6,1689077293785,TILT_RIGHT,0.1,-0.11,0.79
7,1689077293805,TILT_RIGHT,0.07,-0.12,0.92
8,1689077293829,TILT_RIGHT,0.07,-0.12,0.92
9,1689077293853,TILT_RIGHT,0.05,-0.13,0.98
10,1689077293878,TILT_RIGHT,0.05,-0.13,0.98
11,1689077293899,TILT_RIGHT,0.06,-0.13,0.96
12,1689077293921,TILT_RIGHT,0.06,-0.13,0.96
13,1689077293944,TILT_RIGHT,-0.06,-0.13,0.95
14,1689077293967,TILT_RIGHT,-0.09,-0.11,0.98
15,1689077293988,TILT_RIGHT,-0.09,-0.11,0.98
16,1689077294011,TILT_RIGHT,-0.08,-0.14,1.03
17,1689077294032,TILT_RIGHT,-0.08,-0.14,1.03
18,1689077294057,TILT_RIGHT,-0.18,-0.17,0.87
19,1689077294081,TILT_RIGHT,-0.18,-0.09,1.02
20,1689077294105,TILT_RIGHT,-0.18,-0.09,1.02
21,1689077294129,TILT_RIGHT,-0.34,-0.21,0.77
22,1689077294153,TILT_RIGHT,-0.42,-0.17,0.69
23,1689077294178,TILT_RIGHT,-0.42,-0.17,0.69
24,1689077294199,TILT_RIGHT,-0.42,-0.17,0.69
25,1689077294219,TILT_RIGHT,-0.52,-0.1,0.71
26,1689077294244,TILT_RIGHT,-0.76,-0.14,0.43
27,1689077294265,TILT_RIGHT,-0.74,-0.01,0.61
28,1689077294286,TILT_RIGHT,-0.74,-0.01,0.61
29,1689077294310,TILT_RIGHT,-0.95,0.01,0.28
30,1689077294332,TILT_RIGHT,-0.95,0.01,0.28
31,1689077294354,TILT_RIGHT,-1.05,0.01,0.28
32,1689077294378,TILT_RIGHT,-1.05,0.01,0.28
33,1689077294401,TILT_RIGHT,-1.01,0.07,0.33
34,1689077294425,TILT_RIGHT,-1.09,-0.01,0.13
35,1689077294447,TILT_RIGHT,-1.09,-0.01,0.13
36,1689077294472,TILT_RIGHT,-1.09,0.04,0.08
37,1689077294497,TILT_RIGHT,-0.99,-0.05,0.07
38,1689077294519,TILT_RIGHT,-0.99,-0.05,0.07
39,1689077294540,TILT_RIGHT,-1.01,0.07,0.14
40,1689077294565,TILT_RIGHT,-1.01,0.07,0.14
41,1689077294588,TILT_RIGHT,-1.04,0.02,0.08
42,1689077294613,TILT_RIGHT,-0.96,0.0,0.16
43,1689077294635,TILT_RIGHT,-0.96,0.0,0.16
44,1689077294658,TILT_RIGHT,-1.11,0.08,0.11
45,1689077294681,TILT_RIGHT,-0.98,-0.03,0.09
46,1689077294703,TILT_RIGHT,-0.98,-0.03,0.09
47,1689077294724,TILT_RIGHT,-1.0,0.17,0.13
48,1689077294744,TILT_RIGHT,-1.0,0.17,0.13
49,1689077294765,TILT_RIGHT,-1.05,0.01,0.19
50,1689077294786,TILT_RIGHT,-0.9,0.03,0.17
51,1689077294809,TILT_RIGHT,-0.9,0.03,0.17
52,1689077294832,TILT_RIGHT,-1.08,0.02,0.15
53,1689077294855,TILT_RIGHT,-1.08,0.02,0.15
