id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689161766457,THROW,0.08,-0.06,0.99
1,1689161766479,THROW,0.06,0.01,1.04
2,1689161766502,THROW,0.06,0.02,1.06
3,1689161766524,THROW,0.06,0.02,1.06
4,1689161766546,THROW,-0.01,-0.01,1.03
5,1689161766567,THROW,-0.01,-0.01,1.03
6,1689161766591,THROW,-0.02,0.05,1.12
7,1689161766613,THROW,0.0,-0.01,1.29
8,1689161766636,THROW,0.0,-0.01,1.29
9,1689161766660,THROW,0.14,-0.03,1.54
10,1689161766683,THROW,0.14,-0.03,1.54
11,1689161766706,THROW,0.12,-0.15,1.71
12,1689161766729,THROW,0.13,0.01,1.85
13,1689161766752,THROW,0.13,0.01,1.85
14,1689161766773,THROW,0.09,0.02,1.85
15,1689161766796,THROW,0.09,0.02,1.85
16,1689161766816,THROW,0.07,0.14,1.77
17,1689161766839,THROW,0.07,0.14,1.77
18,1689161766862,THROW,0.16,0.06,1.5
19,1689161766882,THROW,0.11,-0.02,0.95
20,1689161766906,THROW,0.11,-0.02,0.95
21,1689161766929,THROW,-0.04,0.0,0.64
22,1689161766954,THROW,-0.04,0.0,0.64
23,1689161766976,THROW,-0.26,-0.09,0.48
24,1689161766997,THROW,-0.31,-0.05,0.36
25,1689161767021,THROW,-0.31,-0.05,0.36
26,1689161767046,THROW,-0.31,-0.05,0.36
27,1689161767069,THROW,-0.55,-0.14,0.01
28,1689161767090,THROW,-0.55,-0.14,0.01
29,1689161767113,THROW,-0.49,-0.07,-0.16
30,1689161767136,THROW,-0.49,-0.07,-0.16
31,1689161767159,THROW,-0.49,-0.04,-0.38
32,1689161767182,THROW,-0.49,-0.04,-0.38
33,1689161767205,THROW,-0.39,-0.0,-0.49
34,1689161767229,THROW,-0.17,0.15,-0.65
35,1689161767253,THROW,-0.17,0.15,-0.65
36,1689161767275,THROW,-0.1,0.32,-0.97
37,1689161767298,THROW,-0.1,0.32,-0.97
38,1689161767323,THROW,-0.1,0.69,-1.4
39,1689161767344,THROW,-0.47,0.93,-1.86
40,1689161767369,THROW,-0.47,0.93,-1.86
41,1689161767390,THROW,-0.77,0.97,-1.8
42,1689161767414,THROW,-0.77,0.97,-1.8
43,1689161767437,THROW,-0.78,1.48,-1.87
44,1689161767459,THROW,-0.93,2.0,-2.02
45,1689161767480,THROW,-0.93,2.0,-2.02
46,1689161767505,THROW,-0.84,2.25,-1.69
47,1689161767531,THROW,-0.84,2.25,-1.69
48,1689161767553,THROW,-0.5,2.46,-1.27
49,1689161767578,THROW,-0.29,2.52,-0.9
50,1689161767601,THROW,-0.29,2.52,-0.9
51,1689161767623,THROW,-0.0,2.25,-0.42
52,1689161767647,THROW,0.41,3.08,-0.19
53,1689161767671,THROW,0.41,3.08,-0.19
54,1689161767692,THROW,-0.07,3.36,-0.05
55,1689161767713,THROW,-0.07,3.36,-0.05
56,1689161767735,THROW,2.42,2.82,1.1
57,1689161767759,THROW,2.42,2.82,1.1
58,1689161767780,THROW,3.36,1.23,4.78
59,1689161767803,THROW,0.11,0.62,2.02
60,1689161767826,THROW,0.11,0.62,2.02
61,1689161767850,THROW,0.96,0.43,2.25
62,1689161767873,THROW,0.96,0.43,2.25
63,1689161767896,THROW,1.21,0.23,1.77
64,1689161767919,THROW,0.87,0.13,1.58
65,1689161767942,THROW,0.87,0.13,1.58
66,1689161767964,THROW,0.64,-0.05,1.45
67,1689161767987,THROW,0.64,-0.05,1.45
68,1689161768012,THROW,0.56,0.13,1.19
69,1689161768035,THROW,0.53,0.1,1.02
70,1689161768059,THROW,0.53,0.1,1.02
71,1689161768080,THROW,0.56,-0.04,0.89
72,1689161768105,THROW,0.56,-0.04,0.89
73,1689161768126,THROW,0.38,0.0,0.81
74,1689161768146,THROW,0.4,-0.15,0.82
75,1689161768169,THROW,0.4,-0.15,0.82
76,1689161768192,THROW,0.35,0.02,0.76
77,1689161768213,THROW,0.35,0.02,0.76
78,1689161768233,THROW,0.36,-0.06,0.75
79,1689161768255,THROW,0.36,-0.06,0.75
80,1689161768278,THROW,0.37,-0.17,0.76
81,1689161768298,THROW,0.24,-0.04,0.66
82,1689161768320,THROW,0.24,-0.04,0.66
