id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689083538451,TILT_LEFT,-0.04,-0.14,0.91
1,1689083538475,TILT_LEFT,-0.08,-0.09,0.79
2,1689083538499,TILT_LEFT,0.09,-0.11,0.99
3,1689083538524,TILT_LEFT,0.09,-0.11,0.99
4,1689083538547,TILT_LEFT,0.1,-0.13,1.07
5,1689083538571,TILT_LEFT,0.06,-0.07,1.05
6,1689083538595,TILT_LEFT,0.06,-0.07,1.05
7,1689083538620,TILT_LEFT,-0.06,-0.01,0.92
8,1689083538642,TILT_LEFT,-0.15,0.05,0.86
9,1689083538663,TILT_LEFT,-0.15,0.05,0.86
10,1689083538688,TILT_LEFT,0.19,-0.03,0.65
11,1689083538713,TILT_LEFT,0.19,-0.03,0.65
12,1689083538737,TILT_LEFT,0.34,-0.06,0.37
13,1689083538760,TILT_LEFT,0.8,-0.3,-0.03
14,1689083538782,TILT_LEFT,0.8,-0.3,-0.03
15,1689083538807,TILT_LEFT,1.25,-0.29,0.0
16,1689083538831,TILT_LEFT,1.25,-0.29,0.0
17,1689083538854,TILT_LEFT,1.22,-0.19,0.12
18,1689083538876,TILT_LEFT,0.98,-0.17,-0.36
19,1689083538899,TILT_LEFT,0.98,-0.17,-0.36
20,1689083538924,TILT_LEFT,1.01,-0.09,-0.59
21,1689083538948,TILT_LEFT,1.01,-0.09,-0.59
22,1689083538972,TILT_LEFT,1.19,-0.17,-0.4
23,1689083538995,TILT_LEFT,1.02,-0.06,-0.42
24,1689083539020,TILT_LEFT,1.02,-0.06,-0.42
25,1689083539044,TILT_LEFT,1.19,-0.15,-0.38
26,1689083539068,TILT_LEFT,1.21,-0.12,-0.03
27,1689083539091,TILT_LEFT,1.21,-0.12,-0.03
28,1689083539111,TILT_LEFT,1.18,-0.08,0.03
29,1689083539131,TILT_LEFT,1.18,-0.08,0.03
30,1689083539154,TILT_LEFT,1.09,-0.16,0.1
31,1689083539178,TILT_LEFT,1.09,-0.16,0.1
32,1689083539199,TILT_LEFT,0.86,-0.16,0.36
33,1689083539223,TILT_LEFT,0.82,-0.25,0.46
34,1689083539247,TILT_LEFT,0.82,-0.25,0.46
35,1689083539270,TILT_LEFT,0.51,-0.18,0.45
36,1689083539296,TILT_LEFT,0.51,-0.18,0.45
37,1689083539317,TILT_LEFT,0.39,-0.29,0.56
38,1689083539340,TILT_LEFT,0.16,-0.16,0.62
39,1689083539363,TILT_LEFT,0.16,-0.16,0.62
40,1689083539387,TILT_LEFT,0.08,-0.02,0.88
41,1689083539410,TILT_LEFT,0.08,-0.02,0.88
42,1689083539433,TILT_LEFT,-0.1,-0.03,0.83
43,1689083539456,TILT_LEFT,-0.05,-0.07,1.0
44,1689083539479,TILT_LEFT,-0.05,-0.07,1.0
45,1689083539503,TILT_LEFT,-0.09,0.01,0.9
46,1689083539525,TILT_LEFT,-0.09,0.01,0.9
47,1689083539549,TILT_LEFT,-0.03,-0.09,1.0
48,1689083539573,TILT_LEFT,-0.06,-0.03,0.93
49,1689083539598,TILT_LEFT,-0.06,-0.03,0.93
50,1689083539619,TILT_LEFT,-0.06,-0.08,0.91
