id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689083629719,TILT_RIGHT,-0.19,-0.2,1.0
1,1689083629742,TILT_RIGHT,-0.04,-0.04,0.84
2,1689083629764,TILT_RIGHT,-0.04,-0.04,0.84
3,1689083629789,TILT_RIGHT,-0.2,-0.11,0.99
4,1689083629812,TILT_RIGHT,-0.17,-0.13,1.04
5,1689083629835,TILT_RIGHT,-0.17,-0.13,1.04
6,1689083629858,TILT_RIGHT,-0.18,-0.09,1.07
7,1689083629882,TILT_RIGHT,-0.09,-0.02,0.89
8,1689083629907,TILT_RIGHT,-0.09,-0.02,0.89
9,1689083629929,TILT_RIGHT,0.01,-0.09,0.86
10,1689083629951,TILT_RIGHT,0.01,-0.09,0.86
11,1689083629974,TILT_RIGHT,0.01,-0.09,0.86
12,1689083629998,TILT_RIGHT,-0.18,0.0,1.06
13,1689083630021,TILT_RIGHT,-0.18,0.0,1.06
14,1689083630042,TILT_RIGHT,-0.05,0.11,1.12
15,1689083630063,TILT_RIGHT,-0.05,0.11,1.12
16,1689083630088,TILT_RIGHT,-0.05,0.11,1.12
17,1689083630108,TILT_RIGHT,0.26,-0.12,0.94
18,1689083630133,TILT_RIGHT,0.26,-0.12,0.94
19,1689083630158,TILT_RIGHT,0.25,-0.02,0.88
20,1689083630178,TILT_RIGHT,0.25,-0.02,0.88
21,1689083630202,TILT_RIGHT,0.28,0.04,0.85
22,1689083630224,TILT_RIGHT,0.28,0.04,0.85
23,1689083630247,TILT_RIGHT,0.46,0.03,0.88
24,1689083630271,TILT_RIGHT,0.34,0.04,0.92
25,1689083630294,TILT_RIGHT,0.34,0.04,0.92
26,1689083630318,TILT_RIGHT,0.48,0.07,0.84
27,1689083630342,TILT_RIGHT,0.52,-0.11,0.8
28,1689083630363,TILT_RIGHT,0.52,-0.11,0.8
29,1689083630387,TILT_RIGHT,0.71,0.24,0.66
30,1689083630407,TILT_RIGHT,0.71,0.24,0.66
31,1689083630428,TILT_RIGHT,0.58,-0.14,0.71
32,1689083630451,TILT_RIGHT,0.58,-0.14,0.71
33,1689083630474,TILT_RIGHT,0.75,-0.02,0.61
34,1689083630500,TILT_RIGHT,0.8,-0.12,0.52
35,1689083630524,TILT_RIGHT,0.8,-0.12,0.52
36,1689083630549,TILT_RIGHT,0.95,-0.2,0.46
37,1689083630572,TILT_RIGHT,0.95,-0.2,0.46
38,1689083630596,TILT_RIGHT,0.89,-0.03,0.41
39,1689083630618,TILT_RIGHT,1.0,-0.07,0.37
40,1689083630642,TILT_RIGHT,1.0,-0.07,0.37
41,1689083630667,TILT_RIGHT,0.97,0.08,0.3
42,1689083630688,TILT_RIGHT,0.97,0.08,0.3
43,1689083630713,TILT_RIGHT,1.01,-0.04,0.34
44,1689083630734,TILT_RIGHT,1.04,0.13,0.29
45,1689083630756,TILT_RIGHT,1.04,0.13,0.29
46,1689083630781,TILT_RIGHT,0.7,-0.12,0.56
47,1689083630804,TILT_RIGHT,0.98,0.03,0.52
48,1689083630828,TILT_RIGHT,0.98,0.03,0.52
49,1689083630850,TILT_RIGHT,0.76,-0.05,0.61
50,1689083630874,TILT_RIGHT,0.76,-0.05,0.61
51,1689083630897,TILT_RIGHT,0.95,0.05,0.56
52,1689083630920,TILT_RIGHT,0.66,0.02,0.71
53,1689083630944,TILT_RIGHT,0.66,0.02,0.71
54,1689083630969,TILT_RIGHT,0.97,-0.02,0.37
55,1689083630991,TILT_RIGHT,0.97,-0.02,0.37
56,1689083631015,TILT_RIGHT,0.91,0.05,0.5
57,1689083631036,TILT_RIGHT,0.91,0.05,0.5
58,1689083631060,TILT_RIGHT,0.81,-0.12,0.42
59,1689083631085,TILT_RIGHT,0.77,0.06,0.65
60,1689083631106,TILT_RIGHT,0.77,0.06,0.65
61,1689083631127,TILT_RIGHT,1.14,-0.07,0.24
62,1689083631152,TILT_RIGHT,0.2,-0.06,0.8
63,1689083631172,TILT_RIGHT,0.2,-0.06,0.8
64,1689083631194,TILT_RIGHT,0.57,0.16,0.56
65,1689083631218,TILT_RIGHT,0.57,0.16,0.56
66,1689083631240,TILT_RIGHT,-0.15,-0.23,1.18
