id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1689076695239,THROW,-0.83,-0.74,-0.67
1,1689076695262,THROW,-0.73,-1.06,-0.81
2,1689076695285,THROW,-0.68,-1.07,-0.61
3,1689076695309,THROW,-0.68,-1.07,-0.61
4,1689076695333,THROW,-0.57,-0.92,-0.44
5,1689076695357,THROW,-0.57,-0.92,-0.44
6,1689076695381,THROW,-0.74,-0.62,-0.39
7,1689076695405,THROW,-0.79,-0.17,-0.29
8,1689076695430,THROW,-0.79,-0.17,-0.29
9,1689076695453,THROW,-0.67,0.25,-0.11
10,1689076695478,THROW,-0.6,0.63,-0.17
11,1689076695503,THROW,-0.6,0.63,-0.17
12,1689076695528,THROW,-0.36,1.23,0.03
13,1689076695552,THROW,-0.36,1.23,0.03
14,1689076695575,THROW,-0.68,2.48,0.22
15,1689076695596,THROW,-1.39,3.46,0.6
16,1689076695621,THROW,-1.39,3.46,0.6
17,1689076695645,THROW,-0.83,3.24,0.76
18,1689076695667,THROW,-0.83,3.24,0.76
19,1689076695692,THROW,-0.23,3.15,1.11
20,1689076695716,THROW,0.81,2.67,1.44
21,1689076695737,THROW,0.81,2.67,1.44
22,1689076695762,THROW,2.41,2.45,2.04
23,1689076695785,THROW,2.41,2.45,2.04
24,1689076695808,THROW,2.57,2.22,1.58
25,1689076695833,THROW,5.33,1.79,0.29
26,1689076695854,THROW,5.33,1.79,0.29
27,1689076695878,THROW,4.03,-3.2,2.56
28,1689076695902,THROW,4.03,-3.2,2.56
29,1689076695924,THROW,0.43,0.32,1.58
30,1689076695947,THROW,1.94,-1.23,0.73
31,1689076695971,THROW,1.94,-1.23,0.73
32,1689076695994,THROW,1.89,-0.71,-0.24
33,1689076696017,THROW,1.89,-0.71,-0.24
34,1689076696039,THROW,1.31,-0.77,0.26
35,1689076696063,THROW,1.2,-0.66,0.17
36,1689076696087,THROW,1.2,-0.66,0.17
37,1689076696110,THROW,1.39,-0.78,0.37
38,1689076696133,THROW,1.36,-0.75,0.56
39,1689076696157,THROW,1.36,-0.75,0.56
40,1689076696180,THROW,1.08,-0.57,0.55
41,1689076696202,THROW,1.08,-0.57,0.55
42,1689076696223,THROW,1.06,-0.49,0.69
43,1689076696248,THROW,1.04,-0.62,0.66
44,1689076696269,THROW,1.04,-0.62,0.66
45,1689076696290,THROW,0.61,-0.32,0.32
