id,time_stamp,gesture,accelerometer_x,accelerometer_y,accelerometer_z
0,1688917760884,TILT_LEFT,-0.04,-0.15,1.0
1,1688917760908,TILT_LEFT,-0.04,-0.15,1.0
2,1688917760930,TILT_LEFT,-0.1,-0.1,1.03
3,1688917760955,TILT_LEFT,-0.1,-0.1,1.03
4,1688917760978,TILT_LEFT,-0.1,-0.19,0.96
5,1688917761002,TILT_LEFT,-0.06,-0.14,0.91
6,1688917761025,TILT_LEFT,-0.06,-0.14,0.91
7,1688917761046,TILT_LEFT,-0.04,-0.09,1.01
8,1688917761069,TILT_LEFT,-0.04,-0.09,1.01
9,1688917761092,TILT_LEFT,-0.11,-0.03,0.81
10,1688917761115,TILT_LEFT,-0.03,-0.17,0.88
11,1688917761137,TILT_LEFT,-0.03,-0.17,0.88
12,1688917761161,TILT_LEFT,-0.12,0.0,0.82
13,1688917761182,TILT_LEFT,-0.0,-0.06,0.84
14,1688917761206,TILT_LEFT,-0.0,-0.06,0.84
15,1688917761231,TILT_LEFT,-0.0,-0.13,0.89
16,1688917761251,TILT_LEFT,-0.0,-0.13,0.89
17,1688917761275,TILT_LEFT,-0.09,-0.03,0.91
18,1688917761296,TILT_LEFT,-0.09,-0.03,0.91
19,1688917761318,TILT_LEFT,-0.11,-0.07,1.01
20,1688917761341,TILT_LEFT,-0.1,-0.03,1.02
21,1688917761362,TILT_LEFT,-0.1,-0.03,1.02
22,1688917761383,TILT_LEFT,-0.15,0.02,1.01
23,1688917761405,TILT_LEFT,-0.15,0.02,1.01
24,1688917761426,TILT_LEFT,-0.09,-0.01,1.06
25,1688917761448,TILT_LEFT,-0.09,-0.01,1.06
26,1688917761473,TILT_LEFT,-0.14,-0.06,0.97
27,1688917761495,TILT_LEFT,-0.04,-0.02,1.03
28,1688917761520,TILT_LEFT,-0.04,-0.02,1.03
29,1688917761543,TILT_LEFT,-0.07,-0.08,0.95
30,1688917761567,TILT_LEFT,-0.08,0.0,1.02
31,1688917761590,TILT_LEFT,-0.08,0.0,1.02
32,1688917761611,TILT_LEFT,-0.13,0.05,1.01
33,1688917761633,TILT_LEFT,-0.13,0.05,1.01
34,1688917761657,TILT_LEFT,-0.09,-0.04,1.02
35,1688917761679,TILT_LEFT,-0.21,0.05,1.09
36,1688917761704,TILT_LEFT,-0.21,0.05,1.09
37,1688917761726,TILT_LEFT,-0.03,0.07,1.19
38,1688917761746,TILT_LEFT,-0.03,0.07,1.19
39,1688917761766,TILT_LEFT,-0.21,0.03,1.1
40,1688917761789,TILT_LEFT,-0.21,0.03,1.1
41,1688917761813,TILT_LEFT,-0.17,0.05,1.0
42,1688917761835,TILT_LEFT,-0.03,0.06,1.27
43,1688917761859,TILT_LEFT,-0.03,0.06,1.27
44,1688917761882,TILT_LEFT,0.03,0.17,1.22
45,1688917761907,TILT_LEFT,0.03,0.17,1.22
46,1688917761931,TILT_LEFT,0.07,0.17,1.17
47,1688917761955,TILT_LEFT,0.03,0.12,1.17
48,1688917761977,TILT_LEFT,0.03,0.12,1.17
49,1688917762000,TILT_LEFT,0.17,0.02,1.16
50,1688917762024,TILT_LEFT,0.0,0.09,0.97
51,1688917762044,TILT_LEFT,0.0,0.09,0.97
52,1688917762069,TILT_LEFT,0.07,0.06,0.97
53,1688917762091,TILT_LEFT,0.04,0.16,0.95
